"","NP","DP","diff","Probe"
"ALCAM",1.13055285564952,0.301768959125054,0.82878389652447,"ALCAM"
"CDH1",1.11426845434588,-0.714534779826205,1.82880323417208,"CDH1"
"CDH5",-1.92143303324482,-1.32403925152546,-0.597393781719363,"CDH5"
"DST",0.51489654529908,0.893779281246252,-0.378882735947172,"DST"
"EPCAM",0.940659521407898,0.953303098719238,-0.0126435773113402,"EPCAM"
"FN1",0.631933571501296,4.43359736647578,-3.80166379497448,"FN1"
"IBSP",-1.04490072898248,-1.78658784530545,0.741687116322961,"IBSP"
"ICAM1",-0.968633022808345,-0.925007837488092,-0.0436251853202535,"ICAM1"
"ITGA2",-0.887573713405226,-0.308797378731124,-0.578776334674102,"ITGA2"
"ITGA4",-0.377059074120358,-0.475111419139883,0.0980523450195257,"ITGA4"
"ITGA5",-0.413776664260355,0.432324852143586,-0.84610151640394,"ITGA5"
"ITGA6",1.75059146765872,0.689933001897759,1.06065846576096,"ITGA6"
"ITGAM",-1.56813550766067,-1.37831021761601,-0.189825290044657,"ITGAM"
"ITGB1",1.91145259079212,2.2879153069905,-0.376462716198378,"ITGB1"
"ITGB2",-0.341675975285193,0.344690608737648,-0.686366584022841,"ITGB2"
"ITGB3",-2.38417325879486,-2.33343303261903,-0.050740226175829,"ITGB3"
"ITGB4",0.246019144232044,-0.348173288257865,0.594192432489909,"ITGB4"
"L1CAM",-1.54236634528338,-1.52495878135882,-0.017407563924563,"L1CAM"
"LGALS1",0.45216571879309,1.54313452971831,-1.09096881092522,"LGALS1"
"LGALS3",0.76084788284826,0.79802586541326,-0.0371779825650003,"LGALS3"
"MBL2",-1.34600882236888,-1.91401092320307,0.568002100834187,"MBL2"
"MUC1",3.04558828262993,0.387432580564675,2.65815570206525,"MUC1"
"NCAM1",-1.08185952259829,-1.49356497085761,0.411705448259325,"NCAM1"
"PVR",0.325870770023865,0.464292679197151,-0.138421909173286,"PVR"
"SELE",-0.679465054123102,-1.52179656698056,0.84233151285746,"SELE"
"THBS1",2.13990755066836,1.49065156661224,0.649255984056119,"THBS1"
"THY1",-0.407693632914108,1.02747659606772,-1.43517022898182,"THY1"
